,Schools in Building,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
927,The STAR Academy - P.S.63 |  Neighborhood School |  121 EAST  3 STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10009.0,40.724117,-73.986381,3.0,2.0,32.0,1005760.0,1004310014.0,East Village                                                               
928,Pathways in Technology Early College High School  |  Academy for Health Careers |  150 ALBANY AVENUE CONSOLIDATED LOCATION,7.0,4.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11211.0,40.715073,-73.954754,1.0,33.0,519.0,3062135.0,3023300011.0,North Side-South Side                                                      
929,P.S. 096 Joseph Lanzetta,0.0,2.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10002.0,40.719029,-73.975891,3.0,2.0,1002.0,1004062.0,1003250025.0,Lower East Side                                                            
930,P.S. 036 Margaret Douglas,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10003.0,40.735161,-73.982027,6.0,2.0,64.0,1020513.0,1009250012.0,Gramercy                                                                   
931,Tag Young Scholars |  ESPERANZA PREPARATORY ACADEMY |  240 EAST 109 STREET CONSOLIDATED LOCATION,0.0,3.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,10025.0,40.791728,-73.970845,7.0,6.0,177.0,1032522.0,1012230005.0,Upper West Side                                                            
932,P.S. K140|Leadership Prep Bedford Stuyvesant Charter School|141 MACON STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11216.0,40.681572,-73.945446,3.0,36.0,269.0,3053075.0,3018450001.0,Bedford                                                                    
933,"Academy for College Preparation and Career Explora |  Academy of Hospitality and Tourism |  Erasmus Yabc |  High School for Youth and Community Development at |  High School for Service & Learning at Erasmus |  Science, Technology and Research Early College Hig |  911 FLATBUSH AVENUE CONSOLIDATED LOCATION",,,,,,,,,,11226.0,40.649787,-73.95855,14.0,40.0,794.0,3336215.0,3051030010.0,Erasmus                                                                    
934,P.S. 295 |  New Voices School of Academic & Creative Arts |  330 18 STREET CONSOLIDATED LOCATION,,,4C,501-750,,,,,,,,,,,,,,
935,P.S. 242 - The Young Diplomats Magnet Academy |  Future Leaders Institute Charter School |  134 WEST 122 STREET CONSOLIDATED LOCATION,1.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10025.0,40.799178,-73.964842,7.0,7.0,189.0,1076625.0,1018590001.0,Upper West Side                                                            
936,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11226.0,40.656183,-73.951583,9.0,40.0,802.0,3378201.0,3050500051.0,Prospect Lefferts Gardens-Wingate                                          
937,"M.S. 267 Math, Science & Technology| Bedford Stuyvesant Collegiate Charter School| La Cima Charter School| 800 GATES AVENUE CONSOLIDATED LOCATION",,,3C,251-500,,,,,,11221.0,40.68832,-73.932275,3.0,36.0,293.0,3044657.0,3016360001.0,Stuyvesant Heights                                                         
938,P.S. 064 Robert Simon |  Earth School |  Tompkins Square Middle School |  600 EAST  6 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10009.0,40.72438,-73.98138,3.0,2.0,2601.0,1004627.0,1003870001.0,Lower East Side                                                            
939,P.S. 399 Stanley Eugene Clark,0.0,1.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11214.0,40.594291,-73.98577,13.0,47.0,306.0,3186454.0,3068830001.0,Gravesend                                                                  
940,Brooklyn Generation School |  Brooklyn Theatre Arts High School |  Victory Collegiate High School |  Brooklyn Bridge Academy |  Academy for Conservation and the Environment |  South Shore Educational Complex Yabc |  6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,5.0,7.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,11201.0,40.690145,-73.989132,2.0,33.0,43.0,3000533.0,3001690009.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
941,J.H.S. 292 Margaret S. Douglas | The Uft Charter School | 301 VERMONT STREET|300 WYONA STREET|CONSOLIDATED LOCATION,1.0,2.0,8C,1501-1750,0.66,3.26,7.31,1.77,1.74,11201.0,40.685419,-73.993351,6.0,33.0,69.0,3006401.0,3004020001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
942,"Henry Street School for International Studies |  University Neighborhood Middle School |  Collaborative Academy of Science, Technology, & La | Manhattan Charter School II  |220 HENRY STREET CONSOLIDATED LOCATION",,,2C,1-250,,,,,,10002.0,40.713684,-73.986336,3.0,1.0,201.0,1003223.0,1002690041.0,Lower East Side                                                            
943,P.S. 90 Edna Cohen School,0.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11224.0,40.578255,-73.979628,13.0,47.0,350.0,3196558.0,3072660040.0,West Brighton                                                              
944,P.S. 190 Sheffield |  Essence School |  590 SHEFFIELD AVENUE CONSOLIDATED LOCATION,0.0,1.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11207.0,40.662326,-73.894441,5.0,42.0,1128.0,3085491.0,3038380018.0,East New York (Pennsylvania Ave)                                           
945,"Academy for College Preparation and Career Explora |  Academy of Hospitality and Tourism |  Erasmus Yabc |  High School for Youth and Community Development at |  High School for Service & Learning at Erasmus |  Science, Technology and Research Early College Hig |  911 FLATBUSH AVENUE CONSOLIDATED LOCATION",2.0,4.0,9C,1751-2000,0.9,3.5,7.25,2.55,1.45,11203.0,40.658893,-73.942458,9.0,40.0,810.0,3107227.0,3048110001.0,Prospect Lefferts Gardens-Wingate                                          
946,P.S. K811 Connie Lekas School,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11201.0,40.697901,-73.98054,2.0,35.0,23.0,3000203.0,3001110001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
947,"Brooklyn Community High School of Communication, A |  Brooklyn Prospect Charter School Downtown |  Brooklyn High School for Leadership and Community |  300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION",,,2C,1-250,,,,,,11210.0,40.625662,-73.938265,18.0,45.0,734.0,3215816.0,3077860001.0,Flatlands                                                                  
948,Kappa V |  Brooklyn Democracy Academy |Leadership Preparatory Brownsville Charter School |Metropolitan Diploma Plus High School |  985 ROCKAWAY AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,11212.0,40.656068,-73.907245,16.0,42.0,922.0,3082940.0,3036360007.0,Brownsville                                                                
949,BROOKLYN PROSPECT CHARTER SCHOOL(BS),1.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11221.0,40.689842,-73.925506,3.0,41.0,387.0,3044597.0,3016330058.0,Stuyvesant Heights                                                         
950,P.S. 224 Hale A. Woodruff,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11235.0,40.579737,-73.956329,13.0,48.0,61004.0,3245498.0,3087120056.0,Brighton Beach                                                             
951,Kappa V |  Brooklyn Democracy Academy |Leadership Preparatory Brownsville Charter School |Metropolitan Diploma Plus High School |  985 ROCKAWAY AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,11212.0,40.656068,-73.907245,16.0,42.0,922.0,3082940.0,3036360007.0,Brownsville                                                                
952,It Takes a Village Academy |  Kurt Hahn Expeditionary Learning School |  Cultural Academy for the Arts and Sciences | New American Academy Charter School |  5800 TILDEN AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11203.0,40.648657,-73.922171,17.0,45.0,936.0,3104598.0,3047420001.0,Rugby-Remsen Village                                                       
953,Brooklyn Collegiate: A College Board School l Achievement First Brownsville Charter School l 2021 BERGEN STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11233.0,40.674103,-73.913273,16.0,41.0,36501.0,3038939.0,3014480001.0,Ocean Hill                                                                 
954,P.S. 020 Clinton Hill |  Academy of Arts and Letters |  225 ADELPHI STREET CONSOLIDATED LOCATION,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11205.0,40.690765,-73.971376,2.0,35.0,183.0,3058531.0,3020910003.0,Fort Greene                                                                
955,M.S. 131 |  Pace High School |  EMMA LAZARUS HIGH SCHOOL |  100 HESTER STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10033.0,40.850626,-73.934377,12.0,10.0,271.0,1063947.0,1021650026.0,Washington Heights North                                                   
956,P.S. 346 Abe Stark |  Frederick Douglass Academy VIII Middle School |  1400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11212.0,40.665965,-73.918107,16.0,41.0,900.0,3081276.0,3035350016.0,Brownsville                                                                
957,Edward R. Murrow High School,4.0,1.0,12C,3001-4000,1.13,8.47,15.33,3.8,3.07,11235.0,40.580894,-73.935952,15.0,48.0,616.0,3326938.0,3087600060.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
958,P.S. 194 Countee Cullen|Harlem Village Academy Charter School|244 WEST 144 STREET CONSOLIDATED LOCATION,2.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,10128.0,40.784826,-73.949611,8.0,5.0,15801.0,1048492.0,1015240023.0,Upper East Side-Carnegie Hill                                              
959,All City Leadership Secondary School,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11232.0,40.65571,-74.005197,7.0,38.0,84.0,3394175.0,3006880026.0,Sunset Park West                                                           
960,International High School at Lafayette |  High School of Sports Management |  Kingsborough Early College School |  Life Academy High School for Film and Music |  Expeditionary Learning School for Community Leader |  2630 BENSON AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11214.0,40.594291,-73.98577,13.0,47.0,306.0,3186454.0,3068830001.0,Gravesend                                                                  
961,Olympus Academy 755 East 100 Street,0.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11213.0,40.676094,-73.935688,8.0,36.0,309.0,3035761.0,3013470001.0,Crown Heights North                                                        
962,Brooklyn Brownstone School |  M.S. 035 Stephen Decatur |  272 MACDONOUGH STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,11233.0,40.681896,-73.935963,3.0,36.0,273.0,3047054.0,3016740011.0,Stuyvesant Heights                                                         
963,P.S. 208 Elsa Ebeling,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11235.0,40.586845,-73.96198,13.0,48.0,370.0,3196224.0,3072440001.0,Brighton Beach                                                             
964,New Heights Middle School|ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL(BS)|790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,,,6C,1001-1250,,,,,,11203.0,40.662447,-73.936382,9.0,41.0,876.0,3107129.0,3048060001.0,Prospect Lefferts Gardens-Wingate                                          
965,I.S. M286 Renaissance Leadership Academy |  Academy for Social Action: A College Board School |  Urban Assembly School for the Performing Arts |509 WEST 129 STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10027.0,40.815256,-73.955325,9.0,7.0,219.0,1059723.0,1019840033.0,Manhattanville                                                             
966,Amistad Dual Language School |  Muscota |  4862 BROADWAY CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10027.0,40.807843,-73.955569,10.0,9.0,257.0,1059111.0,1019460001.0,Central Harlem South                                                       
967,It Takes a Village Academy |  Kurt Hahn Expeditionary Learning School |  Cultural Academy for the Arts and Sciences | New American Academy Charter School |  5800 TILDEN AVENUE CONSOLIDATED LOCATION,1.0,1.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,11208.0,40.691146,-73.868328,5.0,37.0,1180.0,3090738.0,3040940001.0,park-cemetery-etc-Brooklyn                                                 
968,  P.S. 368|  Success Academy Charter School - Bed-Stuy 1|  70 TOMPKINS AVENUE CONSOLIDATED LOCATION,1.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11206.0,40.697152,-73.946641,3.0,36.0,257.0,3048517.0,3017430018.0,Bedford                                                                    
969,New Design Middle School l KIPP Infinity School | 625 West 133 Street,1.0,1.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,10128.0,40.784826,-73.949611,8.0,5.0,15801.0,1048492.0,1015240023.0,Upper East Side-Carnegie Hill                                              
970,P.S. 087 Bronx,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10456.0,40.831992,-73.91796,4.0,16.0,18102.0,2002745.0,2024560100.0,East Concourse-Concourse Village                                           
971,P.S. 372 -The Children's School | The Children's School | 512 CARROLL STREET CONSOLIDATED LOCATION,,,,,,,,,,11215.0,40.676668,-73.985258,6.0,39.0,119.0,3007707.0,3004550001.0,Park Slope-Gowanus                                                         
972,P.S. 175 Henry H Garnet,0.0,2.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10034.0,40.866706,-73.923948,12.0,10.0,291.0,1064900.0,1022340007.0,Marble Hill-Inwood                                                         
973,"Essex Street Academy |  Urban Assembly Academy of Government and Law, The |  Lower Manhattan Arts Academy |  New Design High School |  High School for Dual Language and Asian Studies |  350 GRAND STREET CONSOLIDATED LOCATION",,,3C,251-500,,,,,,10002.0,40.716778,-73.989337,3.0,1.0,18.0,1005283.0,1004080030.0,Chinatown                                                                  
974,I.S. M286 Renaissance Leadership Academy |  Academy for Social Action: A College Board School |  Urban Assembly School for the Performing Arts |509 WEST 129 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10027.0,40.815256,-73.955325,9.0,7.0,219.0,1059723.0,1019840033.0,Manhattanville                                                             
975,P.S. 298 Dr. Betty Shabazz |  Brownsville Collaborative Middle School |  85 WATKINS STREET CONSOLIDATED LOCATION,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11221.0,40.691077,-73.918152,4.0,34.0,399.0,3076734.0,3033580001.0,Bushwick South                                                             
976,P.S. 192 Jacob H. Schiff| Hamilton Grange Middle School| 500 WEST 138 STREET CONSOLIDATED LOCATION,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10030.0,40.821535,-73.940941,10.0,9.0,232.0,1060432.0,1020290011.0,Central Harlem North-Polo Grounds                                          
977,P.S. 083 Luis Munoz Rivera |  The Bilingual Bicultural School |  219 EAST 109 STREET CONSOLIDATED LOCATION,1.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10025.0,40.789526,-73.967574,7.0,6.0,177.0,1081042.0,1012050006.0,Upper West Side                                                            
978,P.S. 156 Waverly |  I.S. 392 |  104 SUTTER AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11212.0,40.665965,-73.918107,16.0,41.0,900.0,3081276.0,3035350016.0,Brownsville                                                                
979,P.S. K140|Leadership Prep Bedford Stuyvesant Charter School|141 MACON STREET CONSOLIDATED LOCATION,,,6C,1001-1250,,,,,,11228.0,40.62668,-74.01512,10.0,43.0,206.0,3148031.0,3059230001.0,Dyker Heights                                                              
980,PS 503: The School of Discovery |  P.S. 506: The School of Journalism & Technology |  330 59 STREET CONSOLIDATED LOCATION,3.0,0.0,9C,1751-2000,0.9,3.5,7.25,2.55,1.45,11238.0,40.674406,-73.960254,8.0,35.0,215.0,3029246.0,3011670018.0,Prospect Heights                                                           
981,The Urban Assembly School for Green Careers|The Global Learning Collaborative|Innovation Diploma Plus|FRANK McCOURT HIGH SCHOOL|Success Academy Charter School - Upper West|145 WEST  84 STREET CONSOLIDATED LOCATION,7.0,3.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,10003.0,40.732447,-73.983031,6.0,2.0,48.0,1020419.0,1009220008.0,Gramercy                                                                   
982,Cambria Heights Academy,0.0,1.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11109.0,40.744753,-73.957971,2.0,26.0,1.0,4000019.0,4000180001.0,Hunters Point-Sunnyside-West Maspeth                                       
983,P.S. 38 Roberto Clemente|DREAM Charter School|232 EAST 103 STREET CONSOLIDATED LOCATION,,,4C,501-750,,,,,,10029.0,40.788952,-73.944538,11.0,8.0,164.0,1052384.0,1016520016.0,East Harlem South                                                          
984,I.S. M286 Renaissance Leadership Academy |  Academy for Social Action: A College Board School |  Urban Assembly School for the Performing Arts |509 WEST 129 STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10027.0,40.815256,-73.955325,9.0,7.0,219.0,1059723.0,1019840033.0,Manhattanville                                                             
985,P.S. 059 Beekman Hill International |  Art and Design High School |  231-249 EAST 56 STREET CONSOLIDATED LOCATION,,,4C,501-750,,,,,,10023.0,40.774351,-73.984753,7.0,6.0,151.0,1030343.0,1011570025.0,Lincoln Square                                                             
986,Mott Hall IV |  Eagle Academy for Young Men II |Ocean Hill Collegiate Charter School |1137 HERKIMER STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11236.0,40.635916,-73.886412,18.0,46.0,1034.0,3235262.0,3083290250.0,Canarsie                                                                   
987,Cobble Hill School of American Studies,1.0,6.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11201.0,40.697339,-73.985016,2.0,33.0,15.0,3000216.0,3001200020.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
988,John Ericsson Middle School 126| Citizens of the World Charter School 1 Williamsbur| Northside Charter High School| 424 LEONARD STREET CONSOLIDATED LOCATION,1.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11222.0,40.719819,-73.948625,1.0,33.0,499.0,3067788.0,3027120001.0,Greenpoint                                                                 
989,"James Baldwin School, The: A School for Expedition |  MANHATTAN BUSINESS ACADEMY |  Landmark High School |  Quest to Learn |  Hudson High School of Learning Technologies |  Humanities Preparatory Academy |  351 WEST  18 STREET CONSOLIDATED LOCATION",4.0,6.0,10C,2001-2500,1.69,7.16,17.44,3.63,3.94,10002.0,40.716778,-73.989337,3.0,1.0,18.0,1005283.0,1004080030.0,Chinatown                                                                  
990,Thomas Jefferson Yabc |  FDNY High School for Fire and Life Safety |  High School for Civil Rights |  Performing Arts and Technology High School |  World Academy for Total Community Health High Scho |  400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,11207.0,40.667456,-73.894747,5.0,42.0,1156.0,3084440.0,3037880001.0,East New York (Pennsylvania Ave)                                           
991,HEBREW LANGUAGE ACADEMY CHARTER SCHOOL (BS),0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,,,,,,,,,
992,The Academy of Talented Scholars |  Brooklyn School of Inquiry |  50 AVENUE P CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11204.0,40.60731,-73.986595,11.0,44.0,428.0,3396829.0,3066180001.0,Bensonhurst East                                                           
993,The Fresh Creek School,0.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11201.0,40.687466,-73.988288,2.0,33.0,43.0,3001070.0,3001880014.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
994,The Academy of Talented Scholars |  Brooklyn School of Inquiry |  50 AVENUE P CONSOLIDATED LOCATION,,,4C,501-750,,,,,,11223.0,40.608862,-73.965058,15.0,44.0,420.0,3176229.0,3066400013.0,Homecrest                                                                  
995,The Christa McAuliffe School\I.S. 187,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11209.0,40.627835,-74.040046,10.0,43.0,46.0,3152318.0,3060130001.0,Bay Ridge                                                                  
996,Brooklyn Academy High School|Bedford Stuyvesant Preparatory High School|Bedford Stuyvesant Collegiate -Uncommon Collegiate Charter High School|Brownsville Collegiate Charter School|832 MARCY AVENUE CONSOLIDATED LOCATION ,,,2C,1-250,,,,,,11216.0,40.685004,-73.947152,3.0,36.0,249.0,3051641.0,3018230038.0,Bedford                                                                    
997,J.H.S. 292 Margaret S. Douglas | The Uft Charter School | 301 VERMONT STREET|300 WYONA STREET|CONSOLIDATED LOCATION,,,4C,501-750,,,,,,11207.0,40.671987,-73.893896,5.0,42.0,1144.0,3083931.0,3037400001.0,East New York (Pennsylvania Ave)                                           
998,P.S. 199 Frederick Wachtel,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11214.0,40.603188,-74.001408,11.0,43.0,282.0,3167818.0,3064070008.0,Bath Beach                                                                 
999,P.S. 075 Emily Dickinson| M.S. 250 West Side Collaborative Middle School| 735 WEST END AVENUE CONSOLDATED LOCATION ,,,4C,501-750,,,,,,10025.0,40.795157,-73.973292,7.0,6.0,183.0,1034190.0,1012530065.0,Upper West Side                                                            
1000,"Essex Street Academy |  Urban Assembly Academy of Government and Law, The |  Lower Manhattan Arts Academy |  New Design High School |  High School for Dual Language and Asian Studies |  350 GRAND STREET CONSOLIDATED LOCATION",,,3C,251-500,,,,,,10002.0,40.712399,-73.984497,3.0,1.0,202.0,1003214.0,1002590044.0,Lower East Side                                                            
1001,P.S. 268 Emma Lazarus,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11210.0,40.637711,-73.948159,17.0,45.0,788.0,3113780.0,3049940023.0,Flatbush                                                                   
1002,P.S. 109,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11212.0,40.668856,-73.911499,16.0,41.0,924.0,3081032.0,3035200008.0,Brownsville                                                                
1003,M.S. 442 Carroll Gardens School for Innovation |Pre-Kcenter @ Bishop Ford School Site,0.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11214.0,40.595341,-73.993457,11.0,47.0,304.0,3186626.0,3068910001.0,Bensonhurst East                                                           
1004,"PROGRESS High School for Professional Careers |  School for Legal Studies |  The High School for Enterprise, Business and Techn |  850 GRAND STREET CONSOLIDATED LOCATION",,,3C,251-500,,,,,,11211.0,40.712184,-73.939722,1.0,34.0,485.0,3325733.0,3030160001.0,Bushwick South                                                             
1005,P.S. 008 Robert Fulton,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11201.0,40.70071,-73.993241,2.0,33.0,1.0,3001540.0,3002110001.0,Brooklyn Heights-Cobble Hill                                               
1006,George Washington Yabc |  The College Academy |  High School for Media and Communications |  High School for Law and Public Service |  High School for Health Careers and Sciences |  549 AUDUBON AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10040.0,40.855954,-73.927051,12.0,10.0,277.0,1076751.0,1021600018.0,Washington Heights North                                                   
1007,P.S. 38 Roberto Clemente|DREAM Charter School|232 EAST 103 STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10029.0,40.788952,-73.944538,11.0,8.0,164.0,1052384.0,1016520016.0,East Harlem South                                                          
1008,P.S. K225 - The Eileen E. Zaglin |  P.S. K771 |  1075 OCEAN VIEW AVENUE CONSOLIDATED LOCATION,,,5C,751-1000,,,,,,11235.0,40.579737,-73.956329,13.0,48.0,61004.0,3245498.0,3087120056.0,Brighton Beach                                                             
1009,P.S. 198 Brooklyn,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11230.0,40.616632,-73.963476,14.0,48.0,768.0,3180761.0,3067400025.0,Midwood                                                                    
1010,Mosaic Preparatory Academy,1.0,1.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10029.0,40.794872,-73.938719,11.0,8.0,180.0,1081366.0,1016840101.0,East Harlem North                                                          
1011,P.S. 398 Walter Weaver |  P.S. 770 New American Academy |  60 EAST  94 STREET CONSOLIDATED LOCATION,0.0,2.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11226.0,40.648044,-73.951891,17.0,40.0,824.0,3117396.0,3051110001.0,Erasmus                                                                    
1012,I.S. 340,0.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11207.0,40.67715,-73.903953,16.0,37.0,367.0,3042309.0,3015540016.0,Ocean Hill                                                                 
1013,J.H.S. 050 John D. Wells,0.0,1.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11211.0,40.711704,-73.960275,1.0,34.0,523.0,3063128.0,3024190001.0,North Side-South Side                                                      
1014,P.S. 171 Patrick Henry |  Central Park East II |  19 EAST 103 STREET CONSOLIDATED LOCATION,3.0,2.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10033.0,40.845469,-73.940468,12.0,10.0,263.0,1063503.0,1021420154.0,Washington Heights South                                                   
1015,P.S. /I.S. 384 Frances E. Carter,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11213.0,40.672713,-73.936924,8.0,36.0,343.0,3036405.0,3013700029.0,Crown Heights North                                                        
1016,"Food and Finance High School |  High School of Hospitality Management |  Urban Assembly School of Design and Construction, |  Facing History School, The |  Manhattan Bridges High School |  525 WEST  50TH STREET CONSOLIDATED LOCATION",,,3C,251-500,,,,,,10019.0,40.765184,-73.992953,4.0,3.0,135.0,1083802.0,1010790029.0,Clinton                                                                    
1017,M.S. 129 Academy for Independent Learning and Lead |  Kappa III |  2055 MAPES AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10473.0,40.823526,-73.859662,9.0,18.0,42.0,2103869.0,2036440001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
1018,Millennium High School,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10019.0,40.768343,-73.989108,4.0,3.0,139.0,1026841.0,1010650001.0,Clinton                                                                    
1019,Bronx Haven High School |  Bronx Design and Construction Academy |  Alfred E. Smith Campus YABC |  Alfred E. Smith Career and Technical Education Hig |  333 EAST 151 STREET CONSOLIDATED LOCATION,,,,,,,,,,10451.0,40.818232,-73.919867,1.0,17.0,67.0,2001874.0,2024110022.0,Melrose South-Mott Haven North                                             
1020,I.S. 007 Elias Bernstein,0.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,10305.0,40.613216,-74.069889,1.0,49.0,8.0,5042776.0,5028520001.0,Stapleton-Rosebank                                                         
1021,P.S. 082 Hammond,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11432.0,40.708898,-73.803938,8.0,24.0,448.0,4438678.0,4097740001.0,Briarwood-Jamaica Hills                                                    
1022,Arturo A. Schomburg Satellite Academy Bronx|  Bronx Regional High School|  ROADS Charter School II|  1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10461.0,40.840702,-73.838545,10.0,13.0,194.0,2074045.0,2053680001.0,Schuylerville-Throgs Neck-Edgewater Park                                   
1023,Pablo Neruda Academy|Millennium Art Academy|Antonia Pantoja Preparatory Academy: A College Boa|Bronx Community High School|BRONX BRIDGES HIGH SCHOOL|Bronx Guild|Stevenson Yabc|Bronx Compass High School|1980 LAFAYETTE AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10473.0,40.82229,-73.856167,9.0,18.0,16.0,2022205.0,2036040039.0,Soundview-Castle Hill-Clason Point-Harding Park                            
1024,J.H.S. 189 Daniel Carter Beard |  Flushing International High School |  144-80 BARCLAY AVENUE CONSOLIDATED LOCATION,,,4C,501-750,,,,,,11375.0,40.722707,-73.851699,6.0,29.0,71305.0,4075214.0,4031720002.0,Forest Hills                                                               
1025,Bronx High School for Writing and Communication Ar |  Bronx Lab School |  High School of Computers and Technology |  Bronx Academy of Health Careers |  High School for Contemporary Arts |  Bronx Aerospace High School | EVANDER CHILDS EVENING H.S.  |800 EAST GUN HILL ROAD CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10467.0,40.875953,-73.86197,12.0,12.0,372.0,2057045.0,2046330040.0,Williamsbridge-Olinville                                                   
1026,J.H.S. 189 Daniel Carter Beard |  Flushing International High School |  144-80 BARCLAY AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11001.0,40.734318,-73.709137,13.0,23.0,157903.0,4180083.0,4088010014.0,Glen Oaks-Floral Park-New Hyde Park                                        
1027,"High School for Construction Trades, Engineering a",1.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11375.0,40.711367,-73.856698,6.0,29.0,645.0,4447233.0,4038860800.0,Forest Hills                                                               
