,Schools in Building,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
629,Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving Yabc|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|40 IRVING PLACE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10003.0,40.735494,-73.987659,6.0,2.0,50.0,1017828.0,1008720057.0,Gramercy                                                                   
630,Wadleigh Secondary School for the Performing & Vis |  Frederick Douglass Academy II Secondary School |  215 WEST 114 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10026.0,40.802207,-73.954142,10.0,9.0,218.0,1055204.0,1018300019.0,Central Harlem South                                                       
631,"George Westinghouse Career and Technical Education|City Polytechnic High School of Engineering, Archi|105 TECH PLACE CONSOLIDATED LOCATION",1.0,2.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11225.0,40.667195,-73.951167,9.0,35.0,321.0,3348092.0,3012890025.0,Crown Heights South                                                        
632,P.S. 007 Abraham Lincoln,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11208.0,40.689697,-73.873109,5.0,37.0,118201.0,3090998.0,3041060039.0,Cypress Hills-City Line                                                    
633,P.S. 064 Robert Simon |  Earth School |  Tompkins Square Middle School |  600 EAST  6 STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10009.0,40.72438,-73.98138,3.0,2.0,2601.0,1004627.0,1003870001.0,Lower East Side                                                            
634,Brooklyn Landmark Elementary School |  Brooklyn Environmental Exploration School (BEES) |  251 MCDOUGAL STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,11233.0,40.680318,-73.910644,16.0,37.0,369.0,3041561.0,3015280001.0,Ocean Hill                                                                 
635,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,0.0,1.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11233.0,40.673073,-73.919594,16.0,41.0,363.0,3039174.0,3014570032.0,Ocean Hill                                                                 
636,The School of Integrated Learning|KIPP AMP Charter School|1224 PARK PLACE CONSOLIDATED LOCATION,,,5C,751-1000,,,,,,11213.0,40.672713,-73.936924,8.0,36.0,343.0,3036405.0,3013700029.0,Crown Heights North                                                        
637,J.H.S. 234 Arthur W. Cunningham,0.0,0.0,9C,1751-2000,0.9,3.5,7.25,2.55,1.45,11203.0,40.654704,-73.941089,17.0,41.0,814.0,3107846.0,3048440001.0,East Flatbush-Farragut                                                     
638,J.H.S. 062 Ditmas,0.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11218.0,40.638686,-73.971651,12.0,40.0,490.0,3126842.0,3053910001.0,Kensington-Ocean Parkway                                                   
639,Ella Baker School |  Vanguard High School |  Manhattan International High School |  Talent Unlimited High School |  Urban Academy Laboratory High School |  317 EAST  67 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10023.0,40.773629,-73.985273,7.0,6.0,151.0,1030341.0,1011560030.0,Lincoln Square                                                             
640,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11226.0,40.656183,-73.951583,9.0,40.0,802.0,3378201.0,3050500051.0,Prospect Lefferts Gardens-Wingate                                          
641,High School for Innovation in Advertising and Medi |  High School for Medical Professions |  Urban Action Academy |  1600 ROCKAWAY PARKWAY CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11236.0,40.641474,-73.898254,18.0,46.0,990.0,3230949.0,3082220001.0,Canarsie                                                                   
642,P.S. 115 Alexander Humboldt,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10016.0,40.744838,-73.978116,6.0,2.0,70.0,1020080.0,1009130007.0,Murray Hill-Kips Bay                                                       
643, Brooklyn Gardens Elementary School |  School of the Future Brooklyn |  574 DUMONT AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11207.0,40.665798,-73.897723,5.0,42.0,1130.0,3084617.0,3038020015.0,East New York (Pennsylvania Ave)                                           
644,P.S. 328 Phyllis Wheatley|Hyde Leadership Charter School- Brooklyn|330 ALABAMA AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11207.0,40.668167,-73.897835,5.0,42.0,1134.0,3084283.0,3037680001.0,East New York (Pennsylvania Ave)                                           
645,P.S. 059 Beekman Hill International |  Art and Design High School |  231-249 EAST 56 STREET CONSOLIDATED LOCATION,,,7C,1251-1500,,,,,,10023.0,40.774351,-73.984753,7.0,6.0,151.0,1030343.0,1011570025.0,Lincoln Square                                                             
646,Boys and Girls High School |  Research and Service High School | NELSON MANDELA HIGH SCHOOL |1700 FULTON STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11213.0,40.67944,-73.932407,3.0,36.0,271.0,3047996.0,3017010001.0,Crown Heights North                                                        
647,I.S. 303 Herbert S. Eisenberg | Coney Island Preparatory Public Charter School |Rachel Carson High School for Coastal Studies |  521 WEST AVENUE CONSOLIDATED LOCATION,,,4C,501-750,,,,,,11224.0,40.582533,-73.973132,13.0,47.0,354.0,3196292.0,3072500025.0,West Brighton                                                              
648,J.H.S. 227 Edward B. Shallow,0.0,0.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,11223.0,40.6013,-73.976953,11.0,47.0,410.0,3190273.0,3070840001.0,Bensonhurst East                                                           
649,"PROGRESS High School for Professional Careers |  School for Legal Studies |  The High School for Enterprise, Business and Techn |  850 GRAND STREET CONSOLIDATED LOCATION",,,5C,751-1000,,,,,,11211.0,40.712184,-73.939722,1.0,34.0,485.0,3325733.0,3030160001.0,Bushwick South                                                             
650,J.H.S. 143 Eleanor Roosevelt |  Washington Heights Expeditionary Learning School |  511 WEST 182ND STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10033.0,40.848908,-73.930948,12.0,10.0,269.0,1063703.0,1021550035.0,Washington Heights North                                                   
651,High School for Innovation in Advertising and Medi |  High School for Medical Professions |  Urban Action Academy |  1600 ROCKAWAY PARKWAY CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11236.0,40.641474,-73.898254,18.0,46.0,990.0,3230949.0,3082220001.0,Canarsie                                                                   
652,P.S. 309 The George E. Wibecan Preparatory Academy |Excellence Girls Charter School |794 MONROE STREET CONSOLIDATED LOCATION,,,7C,1251-1500,,,,,,11221.0,40.688419,-73.924833,3.0,41.0,385.0,3045047.0,3016430036.0,Stuyvesant Heights                                                         
653,The Windsor Terrace School,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11233.0,40.677415,-73.908734,16.0,37.0,369.0,3042263.0,3015520043.0,Ocean Hill                                                                 
654,P.S. 046 Edward C. Blum |  Fort Greene Preparatory Academy |  100 CLERMONT AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11205.0,40.694633,-73.971165,2.0,35.0,187.0,3058088.0,3020450011.0,Fort Greene                                                                
655,Foundations Academy|  The Urban Assembly School for the Urban Environmen|  P.S. 368|  Success Academy Charter School - Bed-Stuy 1|  70 TOMPKINS AVENUE CONSOLIDATED LOCATION,,,4C,501-750,,,,,,11206.0,40.697152,-73.946641,3.0,36.0,257.0,3048517.0,3017430018.0,Bedford                                                                    
656,P.S. 075 Mayda Cortiella,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11221.0,40.693313,-73.920666,4.0,34.0,419.0,3075879.0,3033140001.0,Bushwick South                                                             
657, Brooklyn Gardens Elementary School |  School of the Future Brooklyn |  574 DUMONT AVENUE CONSOLIDATED LOCATION,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11207.0,40.665798,-73.897723,5.0,42.0,1130.0,3084617.0,3038020015.0,East New York (Pennsylvania Ave)                                           
658,International High School at Prospect Heights |  The High School for Global Citizenship |  Brooklyn Academy of Science and the Environment |  Brooklyn School for Music & Theatre |  883 CLASSON AVENUE CONSOLIDATED LOCATION,8.0,5.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,,,,,,,,,
659,J.H.S. 052 Inwood |  High School for Excellence and Innovation | INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE|   650 ACADEMY STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10034.0,40.866053,-73.924835,12.0,10.0,291.0,1076776.0,1022330020.0,Marble Hill-Inwood                                                         
660,"P.S. 019 Asher Levy |  Technology, Arts, and Sciences Studio |  185 1 AVENUE CONSOLIDATED LOCATION",,,3C,251-500,,,,,,10003.0,40.729636,-73.983818,3.0,2.0,40.0,1006478.0,1004530034.0,East Village                                                               
661,P.S. 036 J. C. Drumgoole,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10301.0,40.640686,-74.095378,1.0,49.0,81.0,5001823.0,5000730064.0,West New Brighton-New Brighton-St. George                                  
662,Kappa V |  Brooklyn Democracy Academy |Leadership Preparatory Brownsville Charter School |Metropolitan Diploma Plus High School |  985 ROCKAWAY AVENUE CONSOLIDATED LOCATION,1.0,2.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,11212.0,40.656068,-73.907245,16.0,42.0,922.0,3082940.0,3036360007.0,Brownsville                                                                
663,Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11238.0,40.676774,-73.960058,8.0,35.0,305.0,3028281.0,3011480050.0,Crown Heights North                                                        
664,"J.H.S. 291 Roland Hayes |  Bushwick Community High School | Math, Engineering, and Science Academy Charter Hig |  231 PALMETTO STREET CONSOLIDATED LOCATION",,,3C,251-500,,,,,,11221.0,40.695362,-73.915142,4.0,37.0,433.0,3076460.0,3033430001.0,Bushwick North                                                             
665,P.S. 208 Alain L. Locke,4.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,10040.0,40.86079,-73.930672,12.0,10.0,285.0,1076756.0,1021720016.0,Washington Heights North                                                   
666,P.S. M226 |  Institute for Collaborative Education |  High School for Health Professions and Human Servi |  345 EAST  15TH STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10003.0,40.732447,-73.983031,6.0,2.0,48.0,1020419.0,1009220008.0,Gramercy                                                                   
667,New Bridges Elementary|  1025 EASTERN PARKWAY CONSOLIDATED LOCATION,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11213.0,40.669001,-73.934635,8.0,35.0,353.0,3037303.0,3013890035.0,Crown Heights North                                                        
668, M.S. 839 | 713 Caton Avenue,1.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11225.0,40.670349,-73.961695,9.0,35.0,213.0,3029686.0,3011870001.0,Crown Heights South                                                        
669,M.S. M245 The Computer School |  The Anderson School |  P.S. 452 |  100 WEST  77 STREET CONSOLIDATED LOCATION,0.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,10035.0,40.798884,-73.933319,11.0,8.0,194.0,1054786.0,1017970100.0,East Harlem North                                                          
670,M.S. 256 Academic & Athletic Excellence |  Community Action School - MS 258 |  P.S. 333 Manhattan School for Children |  154 WEST  93 STREET CONSOLIDATED LOCATION,,,5C,751-1000,,,,,,10025.0,40.791728,-73.970845,7.0,6.0,177.0,1032522.0,1012230005.0,Upper West Side                                                            
671,"Essex Street Academy |  Urban Assembly Academy of Government and Law, The |  Lower Manhattan Arts Academy |  New Design High School |  High School for Dual Language and Asian Studies |  350 GRAND STREET CONSOLIDATED LOCATION",4.0,5.0,9C,1751-2000,0.9,3.5,7.25,2.55,1.45,10003.0,40.735494,-73.987659,6.0,2.0,50.0,1017828.0,1008720057.0,Gramercy                                                                   
672,P.S. 253,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11235.0,40.590423,-73.951753,15.0,48.0,592.0,3203132.0,3074200026.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
673,M.S. 224 Manhattan East School for Arts & Academic |Success Academy Charter School - Harlem 3 |Renaissance Charter High School for Innovation |410 EAST 100 STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10029.0,40.785671,-73.942548,11.0,8.0,162.0,1052998.0,1016930001.0,East Harlem South                                                          
674,"James Baldwin School, The: A School for Expedition |  MANHATTAN BUSINESS ACADEMY |  Landmark High School |  Quest to Learn |  Hudson High School of Learning Technologies |  Humanities Preparatory Academy |  351 WEST  18 STREET CONSOLIDATED LOCATION",,,4C,501-750,,,,,,10011.0,40.742867,-74.002136,4.0,3.0,89.0,1013096.0,1007420007.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
675,Origins High School| Professional Pathways High School| New Visions Charter High School for Advanced Math| New Visions Charter High School for the Humanities| 3000 AVENUE X CONSOLIDATED LOCATION,4.0,5.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,11236.0,40.641474,-73.898254,18.0,46.0,990.0,3230949.0,3082220001.0,Canarsie                                                                   
676,P.S. 165 Robert E. Simon |  Mott Hall II |  234 WEST 109 STREET CONSOLIDATED LOCATION,,,4C,501-750,,,,,,10024.0,40.788865,-73.971847,7.0,6.0,173.0,1032308.0,1012190047.0,Upper West Side                                                            
677,P.S. 183 Robert L. Stevenson,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10002.0,40.719598,-73.977904,3.0,2.0,20.0,1004349.0,1003560100.0,Lower East Side                                                            
678,Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving Yabc|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|40 IRVING PLACE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10003.0,40.735494,-73.987659,6.0,2.0,50.0,1017828.0,1008720057.0,Gramercy                                                                   
679,P.S. 748 Brooklyn School for Global Scholars,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11219.0,40.637486,-73.985955,12.0,44.0,232.0,3135976.0,3056000001.0,Borough Park                                                               
680,P.S. 102 The Bayview,1.0,0.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,,,,,,,,,
681,I.S. M286 Renaissance Leadership Academy |  Academy for Social Action: A College Board School |  Urban Assembly School for the Performing Arts |509 WEST 129 STREET CONSOLIDATED LOCATION,4.0,4.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10024.0,40.780822,-73.976855,7.0,6.0,161.0,1030178.0,1011480014.0,Upper West Side                                                            
682,P.S. K077 |  M.S. K266 - Park Place Community Middle School |  M.S. K266 - Park Place Community Middle School,,,3C,251-500,,,,,,11217.0,40.678983,-73.976497,6.0,39.0,12902.0,3259250.0,3009410050.0,Park Slope-Gowanus                                                         
683,P.S. 026 Jesse Owens |  Frederick Douglass Academy IV Secondary School |  Madiba Prep Middle School |1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,11221.0,40.692126,-73.931731,3.0,36.0,291.0,3393805.0,3016160001.0,Stuyvesant Heights                                                         
684,STEM Institute of Manhattan I The Opportunity Charter School | Success Academy Charter School Harlem 4 | 240 West 113 Street,1.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,10128.0,40.780706,-73.948553,8.0,5.0,154.0,1081267.0,1015540032.0,Yorkville                                                                  
685,Van Siclen Community Middle School | Achivement First Brooklyn Academy Charter School |UFT Charter School |800 VAN SICLEN AVE CONSOLIDATED LOCATION,6.0,1.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11207.0,40.66011,-73.885387,5.0,42.0,1104.0,3097675.0,3043490050.0,East New York                                                              
686,Frederick Douglass Academy VII High School |  Teachers Preparatory High School |  226 BRISTOL STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,11212.0,40.665878,-73.911705,16.0,41.0,924.0,3081419.0,3035410001.0,Brownsville                                                                
687,P.S. 328 Phyllis Wheatley|Hyde Leadership Charter School- Brooklyn|330 ALABAMA AVENUE CONSOLIDATED LOCATION,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11224.0,40.574607,-73.996292,13.0,47.0,342.0,3189517.0,3070510001.0,Seagate-Coney Island                                                       
688,P.S. M226 |  Institute for Collaborative Education |  High School for Health Professions and Human Servi |  345 EAST  15TH STREET CONSOLIDATED LOCATION,,,9C,1751-2000,,,,,,10065.0,40.765359,-73.960059,8.0,5.0,118.0,1083343.0,1014420001.0,Lenox Hill-Roosevelt Island                                                
689,P.S. 133 William A. Butler,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11206.0,40.7025,-73.948869,1.0,33.0,509.0,3061328.0,3022460001.0,Williamsburg                                                               
690,P.S. 158 Bayard Taylor | Yorkville East Middle School | 1458 YORK AVENUE  CONSOLIDATED LOCATION ,3.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10027.0,40.81755,-73.953041,9.0,9.0,21303.0,1059645.0,1019710001.0,Manhattanville                                                             
691,P.S. 163 Alfred E. Smith,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10032.0,40.836536,-73.937159,12.0,10.0,24301.0,1062636.0,1021110024.0,Washington Heights South                                                   
692,The Urban Assembly School for Emergency Management|Manhattan Early College School for Advertising|Urban Assembly Maker Academy|Murry Bergtraum High School for Business Careers|411 PEARL STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10019.0,40.765184,-73.992953,4.0,3.0,135.0,1083802.0,1010790029.0,Clinton                                                                    
693,Brooklyn Preparatory High School |  Williamsburg High School for Architecture and Desi |  Williamsburg Preparatory School |  257 NORTH  6 STREET CONSOLIDATED LOCATION,,,4C,501-750,,,,,,11211.0,40.715073,-73.954754,1.0,33.0,519.0,3062135.0,3023300011.0,North Side-South Side                                                      
