,School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,# Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N
249,2016 - 17,High School of  Telecommunication Arts and Technol,K485,K,20,1144.0,400 IRVING AVENUE CONSOLIDATED LOCATION,4,152.0,GEORGE WINGATE HS,The Brooklyn School for Math and Research |  Academy for Environmental Leadership |  Bushwick School for Social Justice |  Academy of Urban Planning |  400 IRVING AVENUE CONSOLIDATED LOCATION,1.0,3.0,42.0
250,2016 - 17,P.S. K315,K315,K,22,1431.0,2310 GLENWOOD ROAD CONSOLIDATED LOCATION,2,95.0,PS 151K,School of Science & Technology |  P.S. K315 |  2310 GLENWOOD ROAD CONSOLIDATED LOCATION,0.0,3.0,0.0
251,2016 - 17,Murry Bergtraum High School for Business Careers,M520,M,2,315.0,411 PEARL STREET CONSOLIDATED LOCATION,4,534.0,CHOIR ACADEMY,The Urban Assembly School for Emergency Management|Manhattan Early College School for Advertising|Urban Assembly Maker Academy|Murry Bergtraum High School for Business Careers|411 PEARL STREET CONSOLIDATED LOCATION,,,
252,2016 - 17,New York City Lab Middle School for Collaborative,M312,M,2,537.0,,1,688.0,PS 063M,Yorkville Community School,0.0,0.0,0.0
253,2016 - 17,J.H.S. 223 The Montauk,K223,K,20,911.0,,1,24.0,IS 218K,P.S. 222 Katherine R. Snyder,0.0,0.0,0.0
254,2016 - 17,J.H.S. 218 James P. Sinnott,K218,K,19,1193.0,,1,107.0,PS 213K,P.S. 217 Colonel David Marcus School,0.0,1.0,0.0
255,2016 - 17,209 YORK STREET CONSOLIDATED LOCATION,K307,K,13,137.0,209 YORK STREET CONSOLIDATED LOCATION,2,123.0,PS 304K,P.S. 307 Daniel Hale Williams |  Satellite West Middle School |  209 YORK STREET CONSOLIDATED LOCATION,,,
256,2016 - 17,FDNY High School for Fire and Life Safety,K502,K,19,,400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,5,1458.0,Spring Creek Community School,Thomas Jefferson Yabc |  FDNY High School for Fire and Life Safety |  High School for Civil Rights |  Performing Arts and Technology High School |  World Academy for Total Community Health High Scho |  400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,,,
257,2016 - 17,PASSAGES ACADEMY AT BELMONT(BN),X695,K,7,618.0,,1,211.0,PS 077K,Brooklyn College Academy,0.0,0.0,1.0
258,2016 - 17,Mark Twain I.S. 239 for the Gifted & Talented,K239,K,21,593.0,,1,276.0,PS 236K,P.S. 238 Anne Sullivan,0.0,0.0,2.0
