,School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
1602,2016 - 17,439 WEST 49TH STREET CONSOLIDATED LOCATION,M625,M,2,417.0,439 WEST 49TH STREET CONSOLIDATED LOCATION,4,671.0,NORMAN THOMAS HS,Stephen T. Mather Building Arts & Craftsmanship Hi|  BUSINESS OF SPORTS SCHOOL|  Urban Assembly Gateway School for Technology| Success Academy Hell's Kitchen|  439 West 49th Street CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,10019.0,40.76337,-73.990593,4.0,3.0,127.0,1026646.0,1010590015.0,Clinton                                                                    
1603,2016 - 17,P.S. 024 Andrew Jackson,Q024,Q,25,1406.0,,1,758.0,PS 017Q,P.S. 021 Edward Hart,0.0,0.0,0.0,0.0,0.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,11355.0,40.75146,-73.817849,7.0,20.0,1205.0,4117403.0,4052010021.0,East Flushing                                                              
1604,2016 - 17,133-25 GUY R BREWER BOULEVARD CONSOLIDATED LOCATION,Q072,Q,28,841.0,,1,898.0,PS 064Q,P.S. 071 Forest | 62-85 FOREST AVENUE,0.0,0.0,2.0,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11434.0,40.673769,-73.775951,12.0,28.0,33402.0,4270059.0,4124950270.0,Springfield Gardens North                                                  
1605,2016 - 17,P.S. 016 John J. Driscoll,R016,R,31,881.0,,1,969.0,IS 002R,P.S. 013 M. L. Lindemeyer,0.0,0.0,2.0,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10301.0,40.6397,-74.079141,1.0,49.0,11.0,5000291.0,5000180015.0,West New Brighton-New Brighton-St. George                                  
1606,2016 - 17,Space Shuttle Columbia School,R058,R,31,626.0,,1,1007.0,PS 046R,P.S. 055 Henry M. Boehm,1.0,0.0,1.0,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10314.0,40.583139,-74.161862,2.0,51.0,27702.0,5145698.0,5024500305.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
1607,2016 - 17,P.S. 143 Louis Armstrong,Q143,Q,24,452.0,,1,925.0,PS 134Q,P.S. 140 Edward K Ellington,0.0,0.0,2.0,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11368.0,40.755451,-73.855192,3.0,21.0,381.0,4043827.0,4017560025.0,North Corona                                                               
1608,2016 - 17,Pioneer Academy,Q307,Q,24,354.0,,1,736.0,IS 237Q,P.S. 251 Queens,0.0,0.0,1.0,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11368.0,40.748838,-73.865161,4.0,21.0,407.0,4040271.0,4016080058.0,North Corona                                                               
1609,2016 - 17,500 EAST FORDHAM ROAD CONSOLIDATED LOCATION,X435,X,10,375.0,500 EAST FORDHAM ROAD CONSOLIDATED LOCATION,6,336.0,EVANDER CHILDS HS,West Bronx Academy for the Future|  Knowledge and Power Preparatory Academy Internatio|  Belmont Preparatory High School|  Fordham High School for the Arts|  Fordham Leadership Academy for Business and Techno|  Bronx High School for Law and Community Service|    500 EAST FORDHAM ROAD CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,10458.0,40.860043,-73.888267,6.0,15.0,387.0,2011810.0,2030590001.0,Belmont                                                                    
1610,2016 - 17,P.S. 183 Dr. Richard R. Green,Q183,Q,27,409.0,,1,938.0,PS 173Q,P.S. Q004,0.0,0.0,1.0,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11693.0,40.589508,-73.805361,14.0,31.0,94202.0,4303354.0,4161120001.0,Hammels-Arverne-Edgemere                                                   
1611,2016 - 17,VILLAGE ACADEMY,Q319,Q,27,233.0,,1,1052.0,PS 256Q,P.S. 051 | 87-45 117 Street,0.0,0.0,0.0,0.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11691.0,40.603622,-73.749097,14.0,31.0,103202.0,4298234.0,4155570025.0,Far Rockaway-Bayswater                                                     
