,School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
446,2016 - 17,241 EMERSON PLACE CONSOLIDATED LOCATION,K270,K,13,134.0,241 EMERSON PLACE CONSOLIDATED LOCATION,2,1433.0,PS 264 Bay Ridge Elementary School for the Arts,P.S. 270 Johann DeKalb | Community Partnership Charter School | 241 EMERSON PLACE CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,11205.0,40.690202,-73.961478,2.0,35.0,193.0,3055378.0,3019330102.0,Clinton Hill                                                               
447,2016 - 17,Highland Park Community School,K760,K,19,756.0,528 RIDGEWOOD AVENUE CONSOLIDATED LOCATION,2,241.0,PS 169K,I.S. 171 Abraham Lincoln |  Highland Park Community School |  528 RIDGEWOOD AVENUE CONSOLIDATED LOCATION,0.0,3.0,2.0,0.0,2.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11208.0,40.68618,-73.869625,5.0,37.0,1184.0,3092456.0,3041340020.0,Cypress Hills-City Line                                                    
448,2016 - 17,P.S. K721 - Brooklyn Occupational Training Center,K721,K,21,926.0,,1,17.0,HARRY VAN ARSDALE HS,Brooklyn Studio Secondary School,0.0,0.0,3.0,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11223.0,40.589317,-73.98131,13.0,47.0,308.0,3385667.0,3071850020.0,Gravesend                                                                  
449,2016 - 17,Clara Barton High School,K600,K,17,1252.0,,1,1398.0,Sunset Park HS,Medgar Evers College Preparatory School,0.0,6.0,4.0,3.0,3.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,11225.0,40.669567,-73.961962,9.0,35.0,213.0,3029702.0,3011880001.0,Crown Heights South                                                        
450,2016 - 17,Richard R. Green High School of Teaching,M580,M,2,850.0,55 BATTERY PLACE CONSOLIDATED LOCATION,2,547.0,IS 223/PS 223 MOTT HALL,P.S. M094 |  BATTERY PARK CITY SCHOOL |  55 BATTERY PLACE CONSOLIDATED LOCATION,0.0,2.0,2.0,1.0,1.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10004.0,40.70568,-74.013302,1.0,1.0,9.0,1000811.0,1000220013.0,Battery Park City-Lower Manhattan                                          
451,2016 - 17,School for Legal Studies,K477,K,14,886.0,850 GRAND STREET CONSOLIDATED LOCATION,3,197.0,PROSPECT HEIGHTS HS,"PROGRESS High School for Professional Careers |  School for Legal Studies |  The High School for Enterprise, Business and Techn |  850 GRAND STREET CONSOLIDATED LOCATION",,,,,,5C,751-1000,,,,,,11211.0,40.712184,-73.939722,1.0,34.0,485.0,3325733.0,3030160001.0,Bushwick South                                                             
452,2016 - 17,The Urban Assembly School for Law and Justice,K483,K,13,835.0,,1,125.0,PS 308K,P.S. 312 Bergen Beach,0.0,0.0,0.0,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11201.0,40.694682,-73.988853,2.0,33.0,11.0,3331741.0,3001400010.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
453,2016 - 17,P.S. 094 The Henry Longfellow,K094,K,15,1437.0,,1,82.0,PS 093K,P.S. 094 The Henry Longfellow,0.0,1.0,3.0,1.0,0.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,11220.0,40.64366,-74.008252,7.0,38.0,98.0,3332126.0,3007920026.0,Sunset Park East                                                           
454,2016 - 17,P.S. 270 Johann DeKalb,K270,K,13,324.0,,1,42.0,MS 323K,P.S. 269 Nostrand,0.0,0.0,1.0,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11205.0,40.690202,-73.961478,2.0,35.0,193.0,3055378.0,3019330102.0,Clinton Hill                                                               
455,2016 - 17,P.S. 124 Yung Wing,M124,M,2,518.0,,2,556.0,JHS 118M,P.S. 123 Mahalia Jackson I Success Academy Charter School Harlem 5,0.0,3.0,9.0,1.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10002.0,40.714201,-73.995087,3.0,1.0,16.0,1075787.0,1002890001.0,Chinatown                                                                  
456,2016 - 17,Evergreen Middle School for Urban Exploration,K562,K,32,1222.0,284 BALTIC STREET CONSOLIDATED LOCATION,3,26.0,IS 291K,Success Academy C harter School- Cobble Hill | Digital Arts and Cinema Technology High School |Boerum Hill School for International Studies |284 BALTIC STREET CONSOLIDATED LOCATION,0.0,4.0,4.0,3.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11207.0,40.688387,-73.910276,4.0,37.0,413.0,3079027.0,3034160001.0,Bushwick South                                                             
457,2016 - 17,Brooklyn College Academy,K555,K,15,896.0,,1,211.0,PS 077K,Benjamin Banneker Academy,0.0,2.0,2.0,1.0,1.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11218.0,40.649404,-73.971736,7.0,39.0,504.0,3328370.0,3053220069.0,Windsor Terrace                                                            
458,2016 - 17,Invictus Preparatory Charter School,K386,K,19,969.0,370 FOUNTAIN AVENUE CONSOLIDATED LOCATION,3,108.0,PS 214K,"J.H.S. 218 James P. Sinnott|The School for Classics: An Academy of Thinkers, W|Invictus Preparatory Charter School|370 FOUNTAIN AVENUE CONSOLIDATED LOCATION",5.0,6.0,6.0,6.0,5.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11208.0,40.670724,-73.874208,5.0,42.0,1118.0,3095977.0,3042780001.0,East New York                                                              
459,2016 - 17,Satellite East Middle School,K301,K,13,317.0,280 HART STREET CONSOLIDATED LOCATION,1,28.0,IS 302K,Brighter Choice Community School |  280 HART STREET CONSOLIDATED LOCATION,0.0,1.0,1.0,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11216.0,40.686076,-73.945229,3.0,36.0,265.0,3051458.0,3018190014.0,Bedford                                                                    
460,2016 - 17,P.S. 139 Alexine A. Fenty,K139,K,22,583.0,,1,90.0,PS 137K,P.S. 138 Brooklyn,0.0,0.0,1.0,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11226.0,40.641937,-73.965523,14.0,40.0,1522.0,3328235.0,3051440064.0,Flatbush                                                                   
461,2016 - 17,1599 EAST  22 STREET CONSOLIDATED LOCATION,K197,K,22,640.0,1599 EAST  22 STREET CONSOLIDATED LOCATION,2,254.0,PS 195K,P.S. 197 - The Kings Highway Academy |  I. S. 381 |  1599 EAST  22 STREET CONSOLIDATED LOCATION,,,,,,4C,501-750,,,,,,11210.0,40.612623,-73.951906,14.0,48.0,546.0,3182169.0,3067690018.0,Midwood                                                                    
462,2016 - 17,790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,K391,K,17,250.0,790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,2,1188.0,PS 384K,New Heights Middle School|ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL(BS)|790 EAST NEW YORK AVENUE CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,11203.0,40.662447,-73.936382,9.0,41.0,876.0,3107129.0,3048060001.0,Prospect Lefferts Gardens-Wingate                                          
463,2016 - 17,HEBREW LANGUAGE ACADEMY CHARTER SCHOOL (BS),K746,K,22,401.0,,1,2.0,ACORN HS FOR SOCIAL JUSTICE,NEW HOPE ACADEMY CHARTER SCHOOL(BS),0.0,0.0,0.0,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11234.0,40.613881,-73.912167,18.0,46.0,698.0,3332530.0,3084701091.0,Georgetown-Marine Park-Bergen Beach-Mill Basin                             
464,2016 - 17,I.S. 528 Bea Fuller Rodgers School,M528,M,6,290.0,411 PEARL STREET CONSOLIDATED LOCATION,4,534.0,CHOIR ACADEMY,The Urban Assembly School for Emergency Management|Manhattan Early College School for Advertising|Urban Assembly Maker Academy|Murry Bergtraum High School for Business Careers|411 PEARL STREET CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,10033.0,40.85051,-73.934485,12.0,10.0,271.0,1063928.0,1021640032.0,Washington Heights North                                                   
465,2016 - 17,"Urban Assembly Academy of Government and Law, The",M305,M,2,225.0,351 WEST  18 STREET CONSOLIDATED LOCATION,6,,,"James Baldwin School, The: A School for Expedition |  MANHATTAN BUSINESS ACADEMY |  Landmark High School |  Quest to Learn |  Hudson High School of Learning Technologies |  Humanities Preparatory Academy |  351 WEST  18 STREET CONSOLIDATED LOCATION",,,,,,2C,1-250,,,,,,10002.0,40.716778,-73.989337,3.0,1.0,18.0,1005283.0,1004080030.0,Chinatown                                                                  
466,2016 - 17,Elijah Stroud Middle School,K353,K,17,489.0,750 CLASSON AVENUE CONSOLIDATED LOCATION,2,1383.0,The Urban Assembly of Math & Science for Young Women,P.S. 316 Elijah Stroud |  Elijah Stroud Middle School |  750 CLASSON AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,11238.0,40.674406,-73.960254,8.0,35.0,215.0,3029246.0,3011670018.0,Prospect Heights                                                           
467,2016 - 17,Brooklyn Science and Engineering Academy,K763,K,18,775.0,5404 TILDEN AVENUE CONSOLIDATED LOCATION,2,178.0,JHS 239K,P.S. 244 Richard R. Green|  Brooklyn Science and Engineering Academy|  5404 TILDEN AVENUE CONSOLIDATED LOCATION,0.0,1.0,2.0,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11203.0,40.648423,-73.925948,17.0,45.0,946.0,3104513.0,3047390001.0,Rugby-Remsen Village                                                       
468,2016 - 17,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,K023,K,14,556.0,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,2,59.0,PS 022K,P.S. 023 Carter G. Woodson |Brooklyn Charter School |545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,0.0,1.0,0.0,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11206.0,40.69407,-73.94756,3.0,36.0,25901.0,3048818.0,3017590013.0,Bedford                                                                    
469,2016 - 17,P.S. 307 Daniel Hale Williams,K307,K,13,492.0,,1,123.0,PS 304K,P.S. 306 Ethan Allen,0.0,5.0,6.0,3.0,2.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11201.0,40.701343,-73.982314,2.0,33.0,21.0,3000158.0,3000560007.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
470,2016 - 17,Jacqueline Kennedy Onassis High School,M529,M,2,166.0,317 EAST  67 STREET CONSOLIDATED LOCATION,5,1367.0,Hamilton Heights School,Ella Baker School |  Vanguard High School |  Manhattan International High School |  Talent Unlimited High School |  Urban Academy Laboratory High School |  317 EAST  67 STREET CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,10036.0,40.757729,-73.983078,5.0,4.0,119.0,1069583.0,1009980041.0,Midtown-Midtown South                                                      
471,2016 - 17,P.S. 120 Carlos Tapia,K120,K,14,443.0,,1,32.0,JHS 117K,P.S. 119 Amersfort,0.0,0.0,2.0,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11206.0,40.700911,-73.938884,4.0,34.0,389.0,3071806.0,3031370026.0,Bushwick South                                                             
472,2016 - 17,P.S. 173,M173,M,6,742.0,19 EAST 103 STREET CONSOLIDATED LOCATION,2,617.0,PS 165M,P.S. 171 Patrick Henry |  Central Park East II |  19 EAST 103 STREET CONSOLIDATED LOCATION,,,,,,4C,501-750,,,,,,10033.0,40.845469,-73.940468,12.0,10.0,263.0,1063503.0,1021420154.0,Washington Heights South                                                   
473,2016 - 17,P.S. 112 Jose Celso Barbosa,M112,M,4,334.0,,1,595.0,PS 102M,P.S. 111 Adolph S. Ochs,0.0,1.0,1.0,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10035.0,40.796668,-73.930966,11.0,8.0,192.0,1084005.0,1018160001.0,East Harlem North                                                          
474,2016 - 17,6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,K515,K,18,,6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,6,145.0,CANARSIE HS,Brooklyn Generation School |  Brooklyn Theatre Arts High School |  Victory Collegiate High School |  Brooklyn Bridge Academy |  Academy for Conservation and the Environment |  South Shore Educational Complex Yabc |  6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,,,,,,,,,,,,,11236.0,40.633285,-73.916735,18.0,46.0,950.0,3224139.0,3079980005.0,Canarsie                                                                   
475,2016 - 17,219 EAST 109 STREET CONSOLIDATED LOCATION,M083,M,4,349.0,219 EAST 109 STREET CONSOLIDATED LOCATION,2,586.0,PS 075M,P.S. 083 Luis Munoz Rivera |  The Bilingual Bicultural School |  219 EAST 109 STREET CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,10029.0,40.793194,-73.942548,11.0,8.0,180.0,1052436.0,1016590012.0,East Harlem North                                                          
476,2016 - 17,Expeditionary Learning School for Community Leader,K572,K,21,302.0,2630 BENSON AVENUE CONSOLIDATED LOCATION,5,1162.0,PAL AUXILARY SERVICES,International High School at Lafayette |  High School of Sports Management |  Kingsborough Early College School |  Life Academy High School for Film and Music |  Expeditionary Learning School for Community Leader |  2630 BENSON AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,11214.0,40.594291,-73.98577,13.0,47.0,306.0,3186454.0,3068830001.0,Gravesend                                                                  
477,2016 - 17,P.S. 245,K245,K,22,206.0,,1,7.0,BROOKLYN HS OF THE ARTS,Liberation Diploma Plus,0.0,1.0,2.0,1.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11226.0,40.645016,-73.963208,14.0,40.0,512.0,3117584.0,3051210032.0,Flatbush                                                                   
478,2016 - 17,Young Women's Leadership School of Brooklyn,K614,K,14,712.0,325 BUSHWICK AVENUE CONSOLIDATED LOCATION,2,92.0,PS 145K,P.S. 147 Isaac Remsen |  Young Women's Leadership School of Brooklyn |  325 BUSHWICK AVENUE CONSOLIDATED LOCATION,0.0,2.0,3.0,1.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11206.0,40.705204,-73.939407,1.0,34.0,485.0,3071418.0,3030910001.0,Bushwick South                                                             
479,2016 - 17,J.H.S. 162 The Willoughby,K162,K,32,414.0,330 CROWN STREET CONSOLIDATED LOCATION,2,237.0,PS 160K,P.S. 161 The Crown|SUCCESS ACADEMY CHARTER SCHOOL - CROWN HEIGHTS - BROOKLYN 7(BS)|330 CROWN STREET CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,11237.0,40.707229,-73.919805,4.0,34.0,445.0,3073018.0,3032120001.0,Bushwick North                                                             
480,2016 - 17,Park East High School,M495,M,4,542.0,122 AMSTERDAM AVENUE CONSOLIDATED LOCATION,5,537.0,FIORELLO LAGUARDIA HS,"High School for Arts, Imagination and Inquiry |  Urban Assembly School for Media Studies, The |  High School for Law, Advocacy and Community Justic |  High School of Arts and Technology |  Manhattan / Hunter Science High School |  122 AMSTERDAM AVENUE CONSOLIDATED LOCATION",,,,,,4C,501-750,,,,,,10029.0,40.790543,-73.944356,11.0,8.0,170.0,1075643.0,1016540033.0,East Harlem South                                                          
481,2016 - 17,800 VAN SICLEN AVE CONSOLIDATED LOCATION,K166 ,K,19,316.0,800 VAN SICLEN AVE CONSOLIDATED LOCATION,3,100.0,PS 165K,Van Siclen Community Middle School | Achivement First Brooklyn Academy Charter School |UFT Charter School |800 VAN SICLEN AVE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,11207.0,40.66011,-73.885387,5.0,42.0,1104.0,3097675.0,3043490050.0,East New York                                                              
482,2016 - 17,P.S. 321 William Penn,K321,K,15,597.0,46 MCKEEVER PLACE CONSOLIDATED LOCATION,2,1062.0,PS 316K,Ebbets Field Middle School |  P.S. 375 Jackie Robinson School |  46 MCKEEVER PLACE CONSOLIDATED LOCATION,1.0,3.0,3.0,0.0,2.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11215.0,40.67146,-73.977783,6.0,39.0,155.0,3337516.0,3009710028.0,Park Slope-Gowanus                                                         
483,2016 - 17,"East Side Elementary School, PS 267",M267,M,2,286.0,,1,635.0,PS 208M,The Mott Hall School,0.0,0.0,0.0,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10065.0,40.763842,-73.964222,8.0,4.0,110.0,1087680.0,1014180007.0,Lenox Hill-Roosevelt Island                                                
484,2016 - 17,1400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,K346,K,19,324.0,1400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,2,190.0,MS 136K,P.S. 346 Abe Stark |  Frederick Douglass Academy VIII Middle School |  1400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,11239.0,40.64726,-73.881114,5.0,42.0,105804.0,3098294.0,3044520025.0,Starrett City                                                              
485,2016 - 17,Rachel Carson High School for Coastal Studies,K344,K,21,503.0,521 WEST AVENUE CONSOLIDATED LOCATION,3,28.0,IS 302K,I.S. 303 Herbert S. Eisenberg | Coney Island Preparatory Public Charter School |Rachel Carson High School for Coastal Studies |  521 WEST AVENUE CONSOLIDATED LOCATION,,,,,,4C,501-750,,,,,,11224.0,40.582533,-73.973132,13.0,47.0,354.0,3196292.0,3072500025.0,West Brighton                                                              
486,2016 - 17,Amistad Dual Language School,M311,M,6,155.0,306 FORT WASHINGTON AVENUE CONSOLIDATED LOCATION,2,545.0,IS 167M,P.S. 173 |  Harbor Heights |  306 FORT WASHINGTON AVENUE CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,10034.0,40.866706,-73.923948,12.0,10.0,291.0,1064900.0,1022340007.0,Marble Hill-Inwood                                                         
487,2016 - 17,P.S. K140,K140,K,13,658.0,,1,283.0,PS 253K,P.S. 257 John F. Hylan,0.0,2.0,1.0,0.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11216.0,40.681572,-73.945446,3.0,36.0,269.0,3053075.0,3018450001.0,Bedford                                                                    
488,2016 - 17,Henry Street School for International Studies,M292,M,1,228.0,220 HENRY STREET CONSOLIDATED LOCATION,4,552.0,JHS 052M,"Henry Street School for International Studies |  University Neighborhood Middle School |  Collaborative Academy of Science, Technology, & La | Manhattan Charter School II  |220 HENRY STREET CONSOLIDATED LOCATION",,,,,,2C,1-250,,,,,,10002.0,40.713684,-73.986336,3.0,1.0,201.0,1003223.0,1002690041.0,Lower East Side                                                            
489,2016 - 17,P.S. 051 Elias Howe,M051,M,2,534.0,26 BROADWAY CONSOLIDATED LOCATION,3,637.0,PS/MS 217M,Richard R. Green High School of Teaching |  Lower Manhattan Community Middle School |  26 BROADWAY CONSOLIDATED LOCATION,,,,,,4C,501-750,,,,,,10036.0,40.761479,-73.995823,4.0,3.0,129.0,1089418.0,1010730014.0,Clinton                                                                    
490,2016 - 17,P.S. 305 Dr. Peter Ray,K305,K,13,105.0,344 MONROE STREET CONSOLIDATED LOCATION,2,1313.0,DISTRICT 21 OFFICE,Satellite East Middle School |  P.S. 305 Dr. Peter Ray |  344 MONROE STREET CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,11216.0,40.686076,-73.945229,3.0,36.0,265.0,3051458.0,3018190014.0,Bedford                                                                    
491,2016 - 17,1573 MADISON AVENUE CONSOLIDATED LOCATION,M013,M,4,490.0,1573 MADISON AVENUE CONSOLIDATED LOCATION,4,575.0,PS 009M,Central Park East I|  Central Park East High School|  East Harlem Scholars Academy Charter School II|  East Harlem Scholars Academy Charter School|  1573 MADISON AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,10029.0,40.793763,-73.949381,11.0,8.0,17401.0,1051515.0,1016120050.0,East Harlem South                                                          
492,2016 - 17,The SEEALL Academy,K180,K,20,913.0,,1,245.0,PS 177K,P.S. 179 Kensington,0.0,0.0,1.0,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11204.0,40.627029,-73.989672,12.0,44.0,470.0,3130809.0,3054920001.0,Borough Park                                                               
493,2016 - 17,West Brooklyn Community High School,K529,K,15,242.0,,1,171.0,IS 280/BROOKLYN STUDIO,El Puente Academy for Peace and Justice,0.0,0.0,0.0,0.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11219.0,40.642834,-73.992948,12.0,39.0,110.0,3328583.0,3055870038.0,Sunset Park East                                                           
494,2016 - 17,M.S. 319 - Maria Teresa,M319,M,6,914.0,21 JUMEL PLACE CONSOLIDATED LOCATION,3,1069.0,EIGHT PLUS LEARNING ACADEMIES,M.S. 319 - Maria Teresa| M.S. 324 - Patria Mirabal| KIPP Washington Heights Middle School| 21 JUMEL PLACE CONSOLIDATED LOCATION,,,,,,5C,751-1000,,,,,,10032.0,40.839305,-73.936159,12.0,10.0,249.0,1076741.0,1021120058.0,Washington Heights South                                                   
495,2016 - 17,P.S. 138 Brooklyn,K138,K,17,293.0,,1,190.0,MS 136K,P.S./I.S. 137 Rachel Jean Mitchell,1.0,2.0,0.0,2.0,1.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11216.0,40.67438,-73.951443,8.0,36.0,31701.0,3330794.0,3012330026.0,Crown Heights North                                                        
496,2016 - 17,BROOKLYN PROSPECT CHARTER SCHOOL(BS),K707,K,15,358.0,,1,4.0,BENJAMIN BANNEKER ACADEMY HS,Bedford Academy High School,0.0,0.0,0.0,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11232.0,40.65571,-74.005197,7.0,38.0,84.0,3394175.0,3006880026.0,Sunset Park West                                                           
497,2016 - 17,P.S. 001 Alfred E. Smith,M001,M,2,533.0,,1,1398.0,Sunset Park HS,P.S. Q256,0.0,1.0,0.0,0.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,,,,,,,,,
498,2016 - 17,New Visions Charter High School for Advanced Math,K738,K,22,209.0,3000 AVENUE X CONSOLIDATED LOCATION,4,10.0,BUSHWICK HS CAMPUS,Origins High School| Professional Pathways High School| New Visions Charter High School for Advanced Math| New Visions Charter High School for the Humanities| 3000 AVENUE X CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,11235.0,40.594124,-73.937696,15.0,48.0,626.0,3203631.0,3074250002.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
499,2016 - 17,P.S. 190 Sheffield,K190,K,19,1059.0,,1,102.0,PS 184K,P.S. 189 The Bilingual Center,0.0,0.0,0.0,0.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11207.0,40.662326,-73.894441,5.0,42.0,1128.0,3085491.0,3038380018.0,East New York (Pennsylvania Ave)                                           
500,2016 - 17,145 WEST  84 STREET CONSOLIDATED LOCATION,M470,M,3,174.0,145 WEST  84 STREET CONSOLIDATED LOCATION,5,539.0,GEORGE WASHINGTON HS ,The Urban Assembly School for Green Careers|The Global Learning Collaborative|Innovation Diploma Plus|FRANK McCOURT HIGH SCHOOL|Success Academy Charter School - Upper West|145 WEST  84 STREET CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,10024.0,40.785803,-73.974614,7.0,6.0,169.0,1032128.0,1012150001.0,Upper West Side                                                            
501,2016 - 17,Benjamin Banneker Academy,K670,K,13,511.0,,1,211.0,PS 077K,EBC High School for Public Service - Bushwick,0.0,1.0,0.0,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11205.0,40.695332,-73.969243,2.0,35.0,191.0,3054323.0,3018880034.0,Clinton Hill                                                               
502,2016 - 17,Essex Street Academy,M294,M,2,483.0,351 WEST  18 STREET CONSOLIDATED LOCATION,6,,,"James Baldwin School, The: A School for Expedition |  MANHATTAN BUSINESS ACADEMY |  Landmark High School |  Quest to Learn |  Hudson High School of Learning Technologies |  Humanities Preparatory Academy |  351 WEST  18 STREET CONSOLIDATED LOCATION",,,,,,3C,251-500,,,,,,10002.0,40.716778,-73.989337,3.0,1.0,18.0,1005283.0,1004080030.0,Chinatown                                                                  
503,2016 - 17,231 PALMETTO STREET CONSOLIDATED LOCATION,K291,K,32,236.0,231 PALMETTO STREET CONSOLIDATED LOCATION,3,120.0,PS 287K,"J.H.S. 291 Roland Hayes |  Bushwick Community High School | Math, Engineering, and Science Academy Charter Hig |  231 PALMETTO STREET CONSOLIDATED LOCATION",,,,,,2C,1-250,,,,,,11221.0,40.695362,-73.915142,4.0,37.0,433.0,3076460.0,3033430001.0,Bushwick North                                                             
504,2016 - 17,South Brooklyn Community High School,K698,K,15,105.0,,2,8.0,BROOKLYN INTERNATIONAL HS,W.E.B. Dubois Academic High School I W.E.B. Dubois YABC,0.0,2.0,2.0,2.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11231.0,40.677969,-74.014363,6.0,38.0,53.0,3398190.0,3005750003.0,Carroll Gardens-Columbia Street-Red Hook                                   
505,2016 - 17,237 7 AVENUE CONSOLIDATED LOCATION,K460,K,15,654.0,237 7 AVENUE CONSOLIDATED LOCATION,4,138.0,STREET ACADEMY,Secondary School for Law |  Secondary School for Journalism |  Park Slope Collegiate |  Millennium Brooklyn HS | 237 7 AVENUE CONSOLIDATED LOCATION,,,,,,4C,501-750,,,,,,11215.0,40.669629,-73.979287,6.0,39.0,155.0,3025510.0,3010820001.0,Park Slope-Gowanus                                                         
506,2016 - 17,P.S. 009 Teunis G. Bergen,K009,K,13,866.0,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,2,52.0,PS 009K,P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION,,,,,,5C,751-1000,,,,,,11238.0,40.678297,-73.965541,8.0,35.0,205.0,3028204.0,3011450026.0,Prospect Heights                                                           
507,2016 - 17,211 THROOP AVENUE CONSOLIDATED LOCATION,K059,K,14,686.0,211 THROOP AVENUE CONSOLIDATED LOCATION,2,209.0,PS 058K,P.S. 059 William Floyd |  Success Academy Charter School - Bed-Stuy 2 |  211 THROOP AVENUE CONSOLIDATED LOCATION,0.0,0.0,1.0,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11206.0,40.696733,-73.943652,3.0,36.0,28502.0,3048546.0,3017490001.0,Stuyvesant Heights                                                         
508,2016 - 17,Williamsburg Preparatory School,K561,K,14,565.0,257 NORTH  6 STREET CONSOLIDATED LOCATION,3,141.0,TRANSIT TECH HS,Brooklyn Preparatory High School |  Williamsburg High School for Architecture and Desi |  Williamsburg Preparatory School |  257 NORTH  6 STREET CONSOLIDATED LOCATION,,,,,,4C,501-750,,,,,,11211.0,40.715073,-73.954754,1.0,33.0,519.0,3062135.0,3023300011.0,North Side-South Side                                                      
509,2016 - 17,P.S. 185 - The Early Childhood Discovery and Desig,M185,M,3,277.0,,1,620.0,PS 173M,Professor Juan Bosch Public School,0.0,1.0,0.0,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10026.0,40.798511,-73.949251,10.0,9.0,186.0,1051410.0,1015950015.0,Central Harlem South                                                       
510,2016 - 17,Brooklyn Democracy Academy,K643,K,23,200.0,985 ROCKAWAY AVENUE CONSOLIDATED LOCATION,4,25.0,IS 271K,Kappa V |  Brooklyn Democracy Academy |Leadership Preparatory Brownsville Charter School |Metropolitan Diploma Plus High School |  985 ROCKAWAY AVENUE CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,11212.0,40.656068,-73.907245,16.0,42.0,922.0,3082940.0,3036360007.0,Brownsville                                                                
511,2016 - 17,Van Siclen Community Middle School,K654,K,19,371.0,,1,240.0,PS 164K,P.S. 165 Ida Posner,1.0,2.0,2.0,1.0,2.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11207.0,40.66011,-73.885387,5.0,42.0,1104.0,3097675.0,3043490050.0,East New York                                                              
